Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,74.12369527963857,71.66666666666667,62.649945474372956,1.0647543778293225,0.8244274809160306,0.42857142857142855,0.7941176470588235,0.4772727272727273,0.7823822498321533
RandomForestClassifier,68.61660694812277,72.22222222222221,50.25704938463935,0.5490804506994508,0.9847328244274809,0.02040816326530612,0.7288135593220338,0.3333333333333333,0.817579984664917
AdaBoostClassifier,67.22230877083658,70.0,55.75634834086306,0.6681214801560166,0.8702290076335878,0.24489795918367346,0.7549668874172185,0.41379310344827586,1.7743136882781982
GradientBoostingClassifier,66.83284000623149,72.22222222222221,54.728150802305656,0.6211367546846118,0.9312977099236641,0.16326530612244897,0.7484662576687117,0.47058823529411764,8.015756130218506
SGDClassifier,64.18445240691698,71.11111111111111,64.18445240691698,9.97786873630753,0.7938931297709924,0.4897959183673469,0.8062015503875969,0.47058823529411764,0.06595063209533691
SVC,79.7320454899517,73.88888888888889,54.595731422339924,0.4804943250611014,0.9694656488549618,0.12244897959183673,0.7470588235294118,0.6,1.3406929969787598
MLPClassifier,75.74388534039569,72.77777777777777,64.69076180090357,0.765504728452377,0.8244274809160306,0.46938775510204084,0.8059701492537313,0.5,1.1516215801239014
KNeighborsClassifier,57.57127278392274,72.77777777777777,55.109830191618634,3.266864007255412,0.9389312977099237,0.16326530612244897,0.75,0.5,0.45475244522094727
LinearDiscriminantAnalysis,65.10359869138495,66.66666666666666,63.68593238822247,2.7992221618097206,0.7022900763358778,0.5714285714285714,0.8141592920353983,0.417910447761194,0.7157537937164307
QuadraticDiscriminantAnalysis,49.40800747780028,56.111111111111114,49.408007477800275,15.158685195544134,0.6412213740458015,0.3469387755102041,0.7241379310344828,0.265625,0.2104041576385498
BaggingClassifier,67.19115126966818,72.77777777777777,60.21966038323726,0.5613515751043111,0.8778625954198473,0.32653061224489793,0.777027027027027,0.5,1.6373469829559326
XGBClassifier,70.58731889702446,71.66666666666667,54.98520018694501,0.7130574204061607,0.916030534351145,0.1836734693877551,0.75,0.45,1.7561044692993164
